Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
GASS,"StealthGas, Inc.",2.09,$79.12M,2005,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/gass
STCN,"Steel Connect, Inc.",0.525,$32.95M,n/a,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/stcn
STLD,"Steel Dynamics, Inc.",32.04,$6.74B,1996,Basic Industries,Steel/Iron Ore,https://old.nasdaq.com/symbol/stld
STEP,StepStone Group Inc.,27.68,$2.62B,2020,Finance,Investment Managers,https://old.nasdaq.com/symbol/step
SRCL,"Stericycle, Inc.",73.51,$6.72B,1996,Basic Industries,Environmental Services,https://old.nasdaq.com/symbol/srcl
SBT,"Sterling Bancorp, Inc.",3.39,$169.42M,2017,Finance,Savings Institutions,https://old.nasdaq.com/symbol/sbt
STRL,Sterling Construction Company Inc,13.79,$387.52M,n/a,Basic Industries,Military/Government/Technical,https://old.nasdaq.com/symbol/strl
SHOO,"Steven Madden, Ltd.",25.74,$2.14B,1993,Consumer Non-Durables,Shoe Manufacturing,https://old.nasdaq.com/symbol/shoo
SFIX,"Stitch Fix, Inc.",37.44,$3.9B,2017,Consumer Services,Catalog/Specialty Distribution,https://old.nasdaq.com/symbol/sfix
SYBT,"Stock Yards Bancorp, Inc.",37.37,$848M,n/a,Finance,Major Banks,https://old.nasdaq.com/symbol/sybt
STOK,"Stoke Therapeutics, Inc.",39.87,$1.33B,2019,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/stok
BANX,StoneCastle Financial Corp,19.14,$125.63M,n/a,n/a,n/a,https://old.nasdaq.com/symbol/banx
STNE,StoneCo Ltd.,62.22,$19.18B,2018,Technology,EDP Services,https://old.nasdaq.com/symbol/stne
SNEX,StoneX Group Inc.,55.1,$1.07B,n/a,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/snex
SSKN,"Strata Skin Sciences, Inc.",1.29,$43.54M,n/a,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/sskn
SSYS,"Stratasys, Ltd.",13.98,$770.47M,1994,Technology,Computer peripheral equipment,https://old.nasdaq.com/symbol/ssys
STRA,"Strategic Education, Inc.",87.55,$2.14B,1996,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/stra
HNDL,Strategy Shares Nasdaq 7HANDL Index ETF,25.04,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/hndl
